date,time,pnl_total,pnl_total_eur,spread_pnl,inventory_pnl,pnl_veille,funding_cost,tn_adjustment,total_inventory,historical_cash,kappa,mid,vol,volume_traite_usd,pnl_bps
2025-08-25,2025-08-26 00:00:00.041014+00:00,85951.87,73981.64,96078.54,-10125.7,-0.97,0.97,0.0,14.0,0.0,170.37751029840183,570.35,0.003031,821268270.692003,1.0465748290455286
2025-08-26,2025-08-27 00:00:00.037404+00:00,256565.85,220379.53,191471.69,-12844.92,-27.89,69.26,0.08,993.0,77966.97,100.0,573.3,0.003009,864928572.880999,2.9663241340889264
2025-08-27,2025-08-28 00:00:00.036182+00:00,-208037.68,-178741.89,168504.52,-69312.59,-2493.46,-3.94,-0.0,-57.0,-304736.15,100.0,570.785,0.009234,1177316700.2910016,-1.7670494264506615
2025-08-28,2025-08-29 00:00:00.036879+00:00,651662.48,557786.94,263121.79,-4808.33,-434.95,100.8,0.45,1450.0,393783.96,182.31751685138536,576.655,0.003119,1120931115.0940032,5.813581862658443
2025-08-29,2025-08-30 00:00:00.036033+00:00,484585.82,414672.11,723122.2,-11423.22,-10091.14,-29.87,-0.02,-435.0,-217022.02,100.0,569.675,0.029241,1213640171.7110045,3.992829434088566
2025-09-02,2025-09-03 00:00:00.037128+00:00,2247775.93,1931078.98,692806.61,-14742.41,1167.53,-23.51,-0.03,-340.0,1568544.2,100.0,567.045,0.002039,1429367946.1619918,15.725663472694505
2025-09-03,2025-09-04 00:00:00.378879+00:00,2533890.89,2172775.58,350767.99,-8754.6,-885.11,4.52,0.01,65.0,2192762.6,100.0,569.635,0.004876,1021726998.2900043,24.80007765519364
2025-09-04,2025-09-05 00:00:00.037020+00:00,3640175.99,3124882.82,1334937.75,731.19,437.74,-10.73,-0.04,-152.0,2304069.31,100.0,576.205,0.003767,1190895319.7759948,30.566716734470923
2025-09-05,2025-09-06 00:00:00.036009+00:00,3842389.3,3279328.58,97668.27,-20265.28,200.88,5.08,0.01,72.0,3764785.43,188.71464654470506,574.8499999999999,0.025369,1907317402.651999,20.145515867770154
2025-09-08,2025-09-09 00:00:00.043667+00:00,3975983.4,3380076.0,265231.04,-2983.84,319.26,-26.25,-0.03,-371.0,3713416.94,100.0,578.92,0.002781,640177025.9640017,62.10756148290109
